txn_id_api,utr,amount,txn_date,status_api,txn_id_bank,status_bank,settlement_date,category
1,LEWCTMBSBPCC,1299,2025-11-03,success,1,success,2025-11-03,exact_match
2,P4DHW8UN9B5K,299,2025-10-26,success,2,success,2025-10-27,exact_match
3,EDK4FUWMTCBG,999,2025-11-03,success,3,failed,2025-11-04,exact_match
4,XPLUQK3YHUS6,999,2025-10-29,success,4,success,2025-10-29,exact_match
5,ZK9DP2ERBX2U,1299,2025-11-02,success,5,success,2025-11-02,exact_match
6,6LYVUQ48RXBY,299,2025-10-28,success,6,success,2025-10-28,exact_match
7,W94KNXAQFDB2,199,2025-10-25,failed,7,failed,2025-10-26,exact_match
8,EHN5CQT645JP,299,2025-10-27,success,8,success,2025-10-27,exact_match
9,M68EFHHRUJAP,499,2025-10-26,success,9,success,2025-10-27,exact_match
10,MU8YSVXB6253,499,2025-10-30,success,10,success,2025-10-31,exact_match
11,NNDWBCGFLBAE,199,2025-10-28,success,11,success,2025-10-29,exact_match
12,DMA5VEJMMD59,1299,2025-10-30,success,12,success,2025-10-30,exact_match
13,QRCDLJ4FA8SE,199,2025-10-25,success,13,success,2025-10-26,exact_match
14,TAS95YJMF2T2,1299,2025-10-31,success,14,success,2025-10-31,exact_match
15,LH39534ZHSMA,199,2025-10-28,success,15,success,2025-10-28,exact_match
16,AJJY8Q798MHH,999,2025-10-28,success,16,success,2025-10-29,exact_match
17,GGV64RW3CX73,499,2025-10-29,success,17,success,2025-10-30,exact_match
18,2RF3L39NN8ZF,999,2025-10-27,success,18,success,2025-10-27,exact_match
20,9WS7P54GJKHU,1299,2025-10-27,success,20,success,2025-10-28,exact_match
22,SAQFA3FRZTLS,199,2025-11-03,success,22,success,2025-11-04,exact_match
23,T3DTHJ2ST27Q,199,2025-11-03,success,23,success,2025-11-04,exact_match
25,T84EDQCHCX36,199,2025-10-27,success,25,success,2025-10-27,exact_match
27,FPSLGLZATQAL,1499,2025-10-31,success,27,success,2025-11-01,exact_match
28,VSC939DJB2JE,199,2025-10-27,success,28,success,2025-10-27,exact_match
29,P74JE7UYCBYP,499,2025-10-25,success,29,success,2025-10-26,exact_match
30,C8W3C5C5QLT7,199,2025-10-27,success,30,success,2025-10-27,exact_match
32,SFMAJAZTGR7D,1299,2025-10-27,success,32,success,2025-10-27,exact_match
33,4PR4NSY9L4YW,299,2025-10-28,success,33,success,2025-10-29,exact_match
35,KHKQFQJ89TH8,999,2025-11-02,success,35,success,2025-11-03,exact_match
36,KMANRSGSAJCN,199,2025-11-01,success,36,failed,2025-11-02,exact_match
37,BAKHUS2XY6NL,999,2025-10-29,success,37,success,2025-10-29,exact_match
38,9EZWB46WZ3ES,199,2025-10-28,success,38,success,2025-10-28,exact_match
39,S434U6XYHAEM,299,2025-10-29,success,39,success,2025-10-29,exact_match
40,D4TWWXRA3ZST,199,2025-11-02,success,40,success,2025-11-02,exact_match
41,XCZJCJZGZ9RN,199,2025-10-27,success,41,success,2025-10-28,exact_match
42,RX2VWCEJZKUA,1499,2025-10-26,success,42,success,2025-10-27,exact_match
43,BJXYXKSQQD6G,1299,2025-10-26,success,43,success,2025-10-27,exact_match
44,97AQ48QJG8GU,1299,2025-11-03,success,44,success,2025-11-04,exact_match
45,ES8E4S6YH6RA,1299,2025-11-03,success,45,success,2025-11-03,exact_match
46,ARQKEML4A24D,499,2025-11-01,success,46,success,2025-11-01,exact_match
47,7Y6KMN9UMPJB,299,2025-11-02,success,47,success,2025-11-03,exact_match
49,W78TZBZQ2WKB,199,2025-10-26,failed,49,failed,2025-10-26,exact_match
50,7ERLKZ9JWKTN,1499,2025-11-02,success,50,failed,2025-11-02,exact_match
51,FFG6RH79QEGC,1299,2025-11-03,success,51,success,2025-11-03,exact_match
52,LCHJU6ZPPSNL,199,2025-10-26,success,52,success,2025-10-26,exact_match
53,BJ8ESW5GJHNQ,1499,2025-10-28,success,53,success,2025-10-29,exact_match
54,855ABY6RUAN7,1299,2025-11-01,success,54,success,2025-11-02,exact_match
55,459HDESX8ZW2,999,2025-11-03,success,55,success,2025-11-03,exact_match
56,QTB3H7WKEJWY,299,2025-11-02,failed,56,failed,2025-11-03,exact_match
57,DCSUNHVAKQ8W,999,2025-10-25,success,57,success,2025-10-25,exact_match
58,6RHH8YKARXPJ,999,2025-11-02,success,58,success,2025-11-03,exact_match
59,X7HBLPXG3ZSG,999,2025-10-31,success,59,success,2025-11-01,exact_match
60,9K4HH2K8RFHP,299,2025-11-01,success,60,success,2025-11-01,exact_match
61,X8ENG9EBBN66,999,2025-10-27,success,61,failed,2025-10-27,exact_match
63,FAJM8D8GM44P,1299,2025-11-01,success,63,success,2025-11-02,exact_match
64,BRM7GM6AP32B,999,2025-10-31,success,64,success,2025-10-31,exact_match
65,BC7JZ6LJ8VJY,299,2025-11-02,success,65,success,2025-11-02,exact_match
66,LJA27W8AHR88,999,2025-10-29,success,66,success,2025-10-29,exact_match
67,NJPR7F3Z42VL,299,2025-10-25,success,67,success,2025-10-25,exact_match
68,LM3CG2HCBTL9,1499,2025-10-30,success,68,success,2025-10-30,exact_match
69,69JCDRYQHPVX,299,2025-11-01,success,69,success,2025-11-02,exact_match
70,Z5XD4KUMZGHH,1499,2025-10-29,success,70,success,2025-10-29,exact_match
71,E6ULN9SH3W9D,299,2025-10-25,success,71,success,2025-10-25,exact_match
72,R447BKDG9U7M,499,2025-10-30,success,72,success,2025-10-30,exact_match
73,5QJ28DVVGMEG,999,2025-10-27,success,73,success,2025-10-28,exact_match
74,JVWGALXFKG3T,499,2025-11-01,success,74,success,2025-11-02,exact_match
75,CDNTWCFYPKK8,499,2025-10-30,success,75,success,2025-10-31,exact_match
76,KUMP59MGZGA6,1499,2025-10-26,success,76,success,2025-10-26,exact_match
77,P4N6QFATW7CV,999,2025-10-27,failed,77,failed,2025-10-27,exact_match
78,MSEKS7DR38GE,999,2025-10-31,success,78,success,2025-11-01,exact_match
79,89RB7N6V4F3H,499,2025-10-25,success,79,success,2025-10-26,exact_match
80,N54FGNSNDHZ6,199,2025-10-30,failed,80,failed,2025-10-31,exact_match
